,sentence,class_num,class_name,relation
0,"Socgen reduced Carbon footprint in 2018.
",25,GHG_Emissions,"reduced Carbon footprint in,reduced in,reduced"
1,"Gender diversity is maintained in Socgen. 
",8,Employee_Engagement_Inclusion_And_Diversity,"is maintained in,is"
2,"Socgen is taking steps to counter water pollution.
",20,Water_And_Wastewater_Management,"counter,is taking"
3,"Google plans to increase its workforce by 25% by 2030.
",8,Employee_Engagement_Inclusion_And_Diversity,"plans,increase by,increase by,plans,plans,plans,plans,plans,plans,plans,increase"
4,"Texas Instruments will make environment friendly chips this year.
",26,Outlier,"will make environment chips at_time,will make at_time"
5,"Socgen is recruiting for their GHG program.
",25,GHG_Emissions,is recruiting for
6,"Socgen reduced scope 1 emissions by 14%.
",25,GHG_Emissions,"reduced by,reduced"
7,"Socgen reduced scope 1 emissions by 80 million tons in 2025.
",25,GHG_Emissions,"reduced by,reduced,reduced in"
8,"Facebook is committed to reaching net zero emissions across our value chain in 2030
",25,GHG_Emissions,"is,is committed to,is committed to,is,is,is,is,is,is,is committed to,is,is,is committed in,is,is,is committed across,is committed to,is,is,is"
9,"In 2020, Facebook achieved net zero emissions in our operations by reducing our GHG emissions by 94 percent, compared to 2017 levels
",25,GHG_Emissions,"achieved,achieved,achieved by,achieved by,achieved In,achieved in"
10,"Facebook is committed to accelerating the transition to renewable energy as well as supporting renewable energy projects that are on the same electrical grids as our data centers.
",24,Energy_Management,is
11,"In 2020, Facebook locally restored nearly as much water as we consumed to the watersheds where we operate.
",20,Water_And_Wastewater_Management,"restored water,consumed to,restored water,locally restored water,locally restored,restored,restored water In,locally restored,locally restored water In,locally restored,restored,locally restored water,restored water,locally restored,restored water,restored In,locally restored,locally restored water,restored,restored,restored,locally restored In,locally restored,restored,locally restored,restored,locally restored,restored,locally restored,restored,locally restored water"
12,"Facebook takes a holistic approach to mitigating biodiversity-related impacts in the communities where we build and operate facilities, contributing where possible to support natural habitats and preserve local species.
",23,Ecological_Impacts,"takes,takes,takes,takes,takes,takes,is in,takes,takes,takes,takes,takes,takes,takes,takes,takes,takes,takes,takes,takes,takes,takes,takes,takes,takes,takes,takes"
13,"From 2010 to 2019, Google signed 52 agreements totaling nearly 5.5 GW of renewable energy, representing a commitment of approximately $4 billion through 2034.
",24,Energy_Management,"signed,signed From,signed"
14,"Google has been carbon neutral since 2007.
",26,Outlier,"has,has"
15,"In 2019, Google announced their 1st renewable energy deal in Asia. 
",24,Energy_Management,"announced,announced In,announced,is in,announced,announced,announced,announced,announced,announced"
16,"Intel estimates that their water conservation methods have saved 44 billion gallons of water over the past decade. 
",20,Water_And_Wastewater_Management,"saved,saved,saved over"
17,"For over two decades, Intel has set aggressive green- house gas (GHG) reduction goals to conserve energy and minimize air emissions
",21,Air_Quality,"has set GHG reduction goals For,conserve,has set For,has set,minimize"
18,"Intel aimed to reduce direct GHG emissions by 10% on a per unit basis by 2020 from 2010 levels.
",25,GHG_Emissions,"aimed,aimed,reduce,aimed,reduce GHG emissions by,reduce by,reduce,aimed"
19,"Intel aimed to achieve zero hazardous waste to landfill by 2020.
",19,Waste_And_Hazardous_Materials_Management,"achieve,achieve"
