sentence,class_num,class_name

"Carbon emissions are down by 20%.
",25,GHG_Emissions

"Socgen reduced Carbon footprint in 2018.
",25,GHG_Emissions

"Gender diversity is maintained in Socgen. 
",8,Employee_Engagement_Inclusion_And_Diversity

"Socgen is taking steps to counter water pollution.
",20,Water_And_Wastewater_Management

"Google plans to increase its workforce by 25% by 2030.
",8,Employee_Engagement_Inclusion_And_Diversity

"Texas Instruments will make environment friendly chips this year.
",26,Outlier

"Socgen is recruiting for their GHG program.
",25,GHG_Emissions

"Socgen aim for net zero carbon footprint by 2024.
",25,GHG_Emissions

"Socgen reduced scope 1 emissions by 14%.
",25,GHG_Emissions

"Socgen reduced scope 1 emissions by 80 million tons in 2025.
",25,GHG_Emissions

"Facebook is committed to reaching net zero emissions across our value chain in 2030
",25,GHG_Emissions

"In 2020, Facebook achieved net zero emissions in our operations by reducing our GHG emissions by 94 percent, compared to 2017 levels
",25,GHG_Emissions

"Facebook is committed to accelerating the transition to renewable energy as well as supporting renewable energy projects that are on the same electrical grids as our data centers.
",24,Energy_Management

"In 2020, Facebook locally restored nearly as much water as we consumed to the watersheds where we operate.
",20,Water_And_Wastewater_Management

"Facebook takes a holistic approach to mitigating biodiversity-related impacts in the communities where we build and operate facilities, contributing where possible to support natural habitats and preserve local species.
",23,Ecological_Impacts

"From 2010 to 2019, Google signed 52 agreements totaling nearly 5.5 GW of renewable energy, representing a commitment of approximately $4 billion through 2034.
",24,Energy_Management

"Google has been carbon neutral since 2007.
",26,Outlier

"In 2019, Google announced their 1st renewable energy deal in Asia. 
",24,Energy_Management

"Intel estimates that their water conservation methods have saved 44 billion gallons of water over the past decade. 
",20,Water_And_Wastewater_Management

"For over two decades, Intel has set aggressive green- house gas (GHG) reduction goals to conserve energy and minimize air emissions
",21,Air_Quality

"Intel aimed to reduce direct GHG emissions by 10% on a per unit basis by 2020 from 2010 levels.
",25,GHG_Emissions

"The combined Scope 1 (direct) and Scope 2 (indirect) GHG emissions of Intel decreased by 13% (intensity) but increased by 8% (absolute) from 2018 to 2019 due to manufacturing growth.
",25,GHG_Emissions

"Intel aimed to achieve zero hazardous waste to landfill by 2020.
",19,Waste_And_Hazardous_Materials_Management

"Intel aimed to achieve a 90% non-hazardous waste recycle rate by 2020.
",19,Waste_And_Hazardous_Materials_Management

"Intel achieved its 2020 goal to spend $1 billion annually with diverse-owned suppliers
",17,Supply_Chain_Management

"In FY20 Nvidia set a goal to source 65% of their global electricity use from renewable energy by the end of FY25
",24,Energy_Management

"In FY21, Nvidia sourced renewable energy for 17 locations and obtained 25% of their total electricity use from renewable energy resources.
",24,Energy_Management

